,time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
14126,679341.44,942.4201011657716,534.9449157714844,3.1688995361328125,True,948.3309745788574,512.0969367027283,3.412109375,True,
14127,679344.805,946.292610168457,543.701673746109,3.13226318359375,True,946.9150543212892,544.2681884765625,3.3195037841796875,True,
14128,679348.16,936.35404586792,533.6569404602051,3.183135986328125,True,944.0211868286132,524.1012167930603,3.3758087158203125,True,
14129,679351.52,944.1046142578124,548.4101736545563,3.1225128173828125,True,939.9422836303712,514.9261951446533,3.386337280273437,True,
14130,679354.784,948.738498687744,547.930337190628,3.116317749023437,True,935.112361907959,509.90670919418335,3.413604736328125,True,
14131,679358.116,946.4071655273438,538.5190343856812,3.1585845947265625,True,936.3418579101562,514.9987435340881,3.39520263671875,True,
14132,679361.485,950.1867485046388,543.8592910766602,3.129150390625,True,941.9762420654296,525.0475645065308,3.3817901611328125,True,
14133,679364.845,934.2341423034668,547.1818399429321,3.115325927734375,True,942.6022911071776,514.6826720237732,3.4037017822265625,True,
14134,679368.113,935.0693893432616,548.8274717330933,3.107528686523437,True,945.2630996704102,522.7332258224487,3.3927154541015625,True,
14135,679371.451,934.7810554504396,542.2436892986298,3.143585205078125,True,946.2056922912598,539.7756600379944,3.3295135498046875,True,
14136,679374.811,938.0437660217284,552.1523702144623,3.10650634765625,True,940.3439712524414,534.3593788146973,3.341400146484375,True,
14137,679378.171,939.5115852355956,542.7760863304138,3.128768920898437,True,932.7623176574708,525.2440309524536,3.359954833984375,True,
14138,679381.537,950.5816268920898,619.1556358337402,3.2963409423828125,True,929.5485305786132,508.83238792419434,3.4103240966796875,True,
14139,679384.797,937.416286468506,537.2345995903015,3.1384735107421875,True,937.551212310791,531.7290329933167,3.349395751953125,True,
14140,679388.143,935.918312072754,545.4099726676941,3.10809326171875,True,936.5940856933594,524.1285753250122,3.3619384765625,True,
14141,679391.499,939.0296745300292,539.6012091636658,3.137481689453125,True,930.6303977966307,518.5175013542175,3.3789215087890625,True,
14142,679394.859,933.5366821289062,548.2660102844238,3.097412109375,True,934.6236419677734,526.3962435722351,3.3636627197265625,True,
14143,679398.115,936.3252639770508,543.4802949428558,3.118621826171875,True,934.540672302246,547.6592946052551,3.29345703125,True,
14144,679401.467,935.928440093994,549.0860903263092,3.111312866210937,True,935.328540802002,529.2368316650391,3.3459014892578125,True,
14145,679404.828,932.7569389343262,547.1270263195038,3.115570068359375,True,937.6395606994628,523.388671875,3.347808837890625,True,
14146,679408.184,940.0736045837402,548.0228734016418,3.128997802734375,True,938.7765884399414,532.5964593887329,3.332244873046875,True,
14147,679411.446,939.9101829528807,536.6558861732483,3.1539459228515625,True,933.7465667724608,528.1744837760925,3.3318328857421875,True,
14148,679414.788,941.5695190429688,541.8071436882019,3.1435546875,True,940.5401802062988,522.9293704032898,3.331329345703125,True,
14149,679418.15,936.7275238037108,537.6533460617065,3.1548309326171875,True,939.759693145752,537.7305936813354,3.3194580078125,True,
14150,679421.508,940.3942108154296,540.1140689849854,3.1235809326171875,True,938.8027381896972,539.5005941390991,3.305526733398437,True,
